# Feature selection method: MIC
# The features were ranked according to their importance, the topper the more important the feature is
=======================
feature	MIC-value
SeqPos.5.OLSK800101	0.016
SeqPos.8.ROBB760113	0.016
SeqPos.8.RACS820105	0.016
SeqPos.8.MEIH800102	0.016
SeqPos.8.CORJ870103	0.016
SeqPos.8.OOBM850103	0.016
SeqPos.5.RACS770102	0.016
SeqPos.8.ROBB760108	0.016
SeqPos.8.QIAN880106	0.016
SeqPos.8.NAKH900102	0.016
SeqPos.8.JANJ790101	0.016
SeqPos.5.ROBB760113	0.016
SeqPos.8.GEIM800108	0.016
SeqPos.1.SNEP660104	0.016
SeqPos.8.NAGK730102	0.016
SeqPos.8.SNEP660101	0.016
SeqPos.8.KRIW790102	0.016
SeqPos.8.RADA880108	0.015
SeqPos.8.GUYH850101	0.015
SeqPos.5.PALJ810116	0.015
SeqPos.8.QIAN880110	0.015
SeqPos.5.NAKH920104	0.015
SeqPos.5.SUEM840101	0.015
SeqPos.8.PALJ810113	0.015
SeqPos.8.KRIW790103	0.015
SeqPos.5.KIDA850101	0.015
SeqPos.8.HUTJ700101	0.015
SeqPos.5.NADH010105	0.015
SeqPos.8.RACS770102	0.015
SeqPos.8.CHOP780203	0.015
SeqPos.1.VASM830102	0.015
SeqPos.5.RACS820106	0.015
SeqPos.8.JANJ790102	0.015
SeqPos.8.BHAR880101	0.015
SeqPos.5.KUMS000102	0.015
SeqPos.8.NAKH920103	0.015
SeqPos.8.WIMW960101	0.015
SeqPos.5.NAKH900109	0.015
SeqPos.5.PONP800102	0.015
SeqPos.5.RICJ880110	0.015
SeqPos.5.QIAN880133	0.015
SeqPos.8.FASG890101	0.015
SeqPos.5.CORJ870105	0.015
SeqPos.5.NAKH900102	0.015
SeqPos.4.RICJ880110	0.015
SeqPos.8.EISD840101	0.015
SeqPos.8.KUMS000102	0.015
SeqPos.8.VHEG790101	0.015
SeqPos.8.PALJ810102	0.015
SeqPos.1.QIAN880121	0.015
SeqPos.8.DAYM780101	0.015
SeqPos.5.GUYH850101	0.015
SeqPos.8.CHOC760101	0.015
SeqPos.8.NAKH900106	0.015
SeqPos.8.NAKH920104	0.015
SeqPos.5.ROSG850101	0.015
SeqPos.4.BIOV880102	0.015
SeqPos.8.PUNT030102	0.015
SeqPos.8.FUKS010112	0.015
SeqPos.8.QIAN880113	0.015
SeqPos.8.ANDN920101	0.015
SeqPos.8.QIAN880124	0.015
SeqPos.1.CHOP780209	0.015
SeqPos.8.KIDA850101	0.015
SeqPos.8.ROBB760106	0.015
SeqPos.8.MAXF760103	0.015
SeqPos.4.MEIH800101	0.015
SeqPos.5.MEEJ810102	0.015
SeqPos.8.RICJ880116	0.015
SeqPos.8.ROBB760112	0.015
SeqPos.5.FASG760101	0.014
SeqPos.8.MIYS990103	0.014
SeqPos.8.PONP800107	0.014
SeqPos.5.WARP780101	0.014
SeqPos.8.GEOR030101	0.014
SeqPos.8.PONP800102	0.014
SeqPos.1.CRAJ730102	0.014
SeqPos.5.MAXF760102	0.014
SeqPos.8.BUNA790103	0.014
SeqPos.8.AURR980118	0.014
SeqPos.1.LEWP710101	0.014
SeqPos.1.FUKS010109	0.014
SeqPos.8.GEIM800101	0.014
SeqPos.8.MAXF760106	0.014
SeqPos.4.FASG890101	0.014
SeqPos.8.GEIM800106	0.014
SeqPos.4.ROBB760105	0.014
SeqPos.5.ROBB760112	0.014
SeqPos.8.AURR980114	0.014
SeqPos.5.LEWP710101	0.014
SeqPos.8.ROSG850102	0.014
SeqPos.1.RADA880102	0.014
SeqPos.8.NADH010102	0.014
SeqPos.8.ZASB820101	0.014
SeqPos.4.CIDH920103	0.014
SeqPos.5.MIYS990103	0.014
SeqPos.4.NISK800101	0.014
SeqPos.5.OOBM770105	0.014
SeqPos.8.MANP780101	0.014
SeqPos.5.NAKH920101	0.014
SeqPos.8.BURA740101	0.014
SeqPos.8.CEDJ970105	0.014
SeqPos.8.RICJ880112	0.014
SeqPos.5.QIAN880139	0.014
SeqPos.8.FAUJ880103	0.014
SeqPos.3.NAKH900106	0.014
SeqPos.8.HARY940101	0.014
SeqPos.8.TSAJ990101	0.014
SeqPos.8.TSAJ990102	0.014
SeqPos.5.NAKH920106	0.014
SeqPos.8.CHOC760104	0.014
SeqPos.8.NAKH900110	0.014
SeqPos.5.DAYM780101	0.014
SeqPos.5.SNEP660104	0.014
SeqPos.8.ROBB790101	0.014
SeqPos.5.GUYH850102	0.014
SeqPos.5.TANS770103	0.014
SeqPos.8.ISOY800101	0.014
SeqPos.8.AURR980117	0.014
SeqPos.4.WILM950103	0.014
SeqPos.8.AURR980107	0.014
SeqPos.1.KUHL950101	0.014
SeqPos.5.ZIMJ680102	0.014
SeqPos.1.PALJ810109	0.014
SeqPos.1.VINM940101	0.014
SeqPos.4.CHOC750101	0.014
SeqPos.1.KANM800101	0.014
SeqPos.4.ROBB760113	0.014
SeqPos.3.DAYM780201	0.014
SeqPos.4.VHEG790101	0.014
SeqPos.8.TANS770102	0.014
SeqPos.5.EISD860103	0.014
SeqPos.5.CASG920101	0.014
SeqPos.1.PRAM820101	0.013
SeqPos.3.OLSK800101	0.013
SeqPos.8.COHE430101	0.013
SeqPos.1.FASG890101	0.013
SeqPos.8.PRAM820101	0.013
SeqPos.8.CIDH920105	0.013
SeqPos.5.RACS820103	0.013
SeqPos.4.RACS770101	0.013
SeqPos.8.PTIO830102	0.013
SeqPos.9.ROBB760105	0.013
SeqPos.5.PALJ810102	0.013
SeqPos.8.BIGC670101	0.013
SeqPos.1.BLAS910101	0.013
SeqPos.1.PUNT030102	0.013
SeqPos.4.RICJ880109	0.013
SeqPos.1.FAUJ880104	0.013
SeqPos.1.KUMS000101	0.013
SeqPos.1.NADH010102	0.013
SeqPos.8.NAKH920105	0.013
SeqPos.1.PONP930101	0.013
SeqPos.8.BIOV880101	0.013
SeqPos.4.NADH010104	0.013
SeqPos.4.WOLS870103	0.013
SeqPos.5.JOND920102	0.013
SeqPos.4.AURR980115	0.013
SeqPos.8.WERD780101	0.013
SeqPos.9.NAGK730103	0.013
SeqPos.1.VHEG790101	0.013
SeqPos.9.PUNT030102	0.013
SeqPos.9.PONP800107	0.013
SeqPos.8.FAUJ880104	0.013
SeqPos.9.MIYS990102	0.013
SeqPos.9.MIYS990101	0.013
SeqPos.8.QIAN880128	0.013
SeqPos.5.BULH740102	0.013
SeqPos.9.BIOV880101	0.013
SeqPos.4.MIYS850101	0.013
SeqPos.5.FUKS010109	0.013
SeqPos.5.PALJ810115	0.013
SeqPos.5.GEOR030105	0.013
SeqPos.9.MIYS850101	0.013
SeqPos.5.NISK800101	0.013
SeqPos.5.CEDJ970105	0.013
SeqPos.4.OOBM770102	0.013
SeqPos.8.CIDH920104	0.013
SeqPos.8.RICJ880107	0.013
SeqPos.8.FAUJ880110	0.013
SeqPos.4.NAKH900109	0.013
SeqPos.3.ZIMJ680101	0.013
SeqPos.8.CHOP780206	0.013
SeqPos.9.RADA880108	0.013
SeqPos.4.CORJ870104	0.013
SeqPos.8.RADA880106	0.013
SeqPos.9.CORJ870108	0.013
SeqPos.8.PONP800101	0.013
SeqPos.4.RADA880106	0.013
SeqPos.4.WILM950104	0.013
SeqPos.3.FUKS010102	0.013
SeqPos.4.NADH010103	0.013
SeqPos.5.KANM800103	0.013
SeqPos.5.ROBB760102	0.013
SeqPos.4.NAGK730101	0.013
SeqPos.4.ZIMJ680104	0.013
SeqPos.8.QIAN880127	0.013
SeqPos.8.SUEM840102	0.013
SeqPos.9.MEIH800101	0.013
SeqPos.8.ISOY800103	0.013
SeqPos.1.TANS770103	0.013
SeqPos.5.PALJ810110	0.013
SeqPos.3.KANM800102	0.013
SeqPos.5.JOND920101	0.013
SeqPos.4.FASG760103	0.013
SeqPos.9.WERD780101	0.013
SeqPos.5.PALJ810113	0.013
SeqPos.5.CHOP780210	0.013
SeqPos.9.FASG890101	0.013
SeqPos.9.MEIH800103	0.013
SeqPos.3.NAKH920108	0.013
SeqPos.8.KANM800102	0.013
SeqPos.9.HUTJ700101	0.013
SeqPos.9.GUYH850101	0.013
SeqPos.8.AURR980110	0.013
SeqPos.3.KARP850101	0.013
SeqPos.8.FINA770101	0.013
SeqPos.1.PALJ810102	0.013
SeqPos.9.BASU050103	0.013
SeqPos.5.RADA880102	0.013
SeqPos.5.BHAR880101	0.013
SeqPos.5.PONP800101	0.013
SeqPos.8.CHOP780201	0.013
SeqPos.9.PONP800108	0.013
SeqPos.5.CIDH920105	0.013
SeqPos.5.ROBB760106	0.013
SeqPos.9.CORJ870104	0.013
SeqPos.3.FUKS010109	0.013
SeqPos.4.PARJ860101	0.013
SeqPos.9.CORJ870101	0.013
SeqPos.5.HUTJ700102	0.013
SeqPos.1.VINM940104	0.013
SeqPos.4.KUMS000103	0.013
SeqPos.9.PRAM820102	0.013
SeqPos.9.WIMW960101	0.013
SeqPos.5.YUTK870102	0.013
SeqPos.3.PONP930101	0.013
SeqPos.5.NAKH920103	0.013
SeqPos.9.PONP930101	0.013
SeqPos.4.JANJ790102	0.013
SeqPos.8.KUMS000104	0.013
SeqPos.5.CHOP780203	0.013
SeqPos.5.ROBB790101	0.013
SeqPos.9.CHOC760101	0.013
SeqPos.9.NISK860101	0.013
SeqPos.8.MITS020101	0.013
SeqPos.8.LIFS790101	0.013
SeqPos.9.CORJ870105	0.013
SeqPos.8.AURR980120	0.013
SeqPos.8.FUKS010102	0.013
SeqPos.8.JANJ780101	0.012
SeqPos.9.BIOV880102	0.012
SeqPos.8.RICJ880115	0.012
SeqPos.8.RADA880102	0.012
SeqPos.6.CEDJ970101	0.012
SeqPos.9.SNEP660104	0.012
SeqPos.5.KUMS000104	0.012
SeqPos.1.FUKS010111	0.012
SeqPos.5.AURR980118	0.012
SeqPos.8.QIAN880138	0.012
SeqPos.8.ISOY800105	0.012
SeqPos.9.ROBB760101	0.012
SeqPos.5.NAKH900101	0.012
SeqPos.4.TSAJ990101	0.012
SeqPos.4.TSAJ990102	0.012
SeqPos.8.EISD860102	0.012
SeqPos.5.RICJ880103	0.012
SeqPos.8.ZIMJ680104	0.012
SeqPos.9.COWR900101	0.012
SeqPos.8.NAKH920101	0.012
SeqPos.4.JANJ780102	0.012
SeqPos.8.LAWE840101	0.012
SeqPos.4.MEIH800102	0.012
SeqPos.8.VASM830102	0.012
SeqPos.4.PONP800102	0.012
SeqPos.1.ROSM880103	0.012
SeqPos.3.RACS820103	0.012
SeqPos.8.KIMC930101	0.012
SeqPos.8.GUOD860101	0.012
SeqPos.5.FUKS010102	0.012
SeqPos.8.QIAN880131	0.012
SeqPos.3.RICJ880113	0.012
SeqPos.9.RICJ880112	0.012
SeqPos.8.LEVM780102	0.012
SeqPos.8.PRAM900103	0.012
SeqPos.8.FAUJ880108	0.012
SeqPos.9.NAGK730101	0.012
SeqPos.5.WERD780102	0.012
SeqPos.3.SIMZ760101	0.012
SeqPos.8.AURR980104	0.012
SeqPos.9.ARGP820101	0.012
SeqPos.9.JOND750101	0.012
SeqPos.9.ROSG850102	0.012
SeqPos.1.ZIMJ680102	0.012
SeqPos.8.NAKH920108	0.012
SeqPos.4.RACS820107	0.012
SeqPos.5.CIDH920104	0.012
SeqPos.1.MIYS990103	0.012
SeqPos.1.EISD860101	0.012
SeqPos.9.ROSM880102	0.012
SeqPos.8.PALJ810116	0.012
SeqPos.5.CHOP780211	0.012
SeqPos.1.ROSG850102	0.012
SeqPos.9.CORJ870103	0.012
SeqPos.5.FAUJ880106	0.012
SeqPos.4.ROSG850101	0.012
SeqPos.4.QIAN880101	0.012
SeqPos.5.RACS820113	0.012
SeqPos.8.ROBB760111	0.012
SeqPos.1.ROBB760113	0.012
SeqPos.1.QIAN880112	0.012
SeqPos.4.LAWE840101	0.012
SeqPos.4.HARY940101	0.012
SeqPos.5.ROSG850102	0.012
SeqPos.5.PRAM820101	0.012
SeqPos.4.FAUJ830101	0.012
SeqPos.9.GUYH850102	0.012
SeqPos.1.RACS820113	0.012
SeqPos.8.GEIM800111	0.012
SeqPos.5.DAWD720101	0.012
SeqPos.8.CHOC750101	0.012
SeqPos.4.CHOP780206	0.012
SeqPos.9.NADH010102	0.012
SeqPos.3.BURA740101	0.012
SeqPos.1.ZHOH040101	0.012
SeqPos.8.YUTK870101	0.012
SeqPos.4.NAKH900104	0.012
SeqPos.9.QIAN880129	0.012
SeqPos.9.NADH010103	0.012
SeqPos.5.ISOY800107	0.012
SeqPos.4.QIAN880127	0.012
SeqPos.5.RACS820111	0.012
SeqPos.4.KRIW790101	0.012
SeqPos.5.GEOR030103	0.012
SeqPos.4.NADH010102	0.012
SeqPos.8.RICJ880108	0.012
SeqPos.5.MEEJ800102	0.012
SeqPos.4.AURR980102	0.012
SeqPos.8.CEDJ970101	0.012
SeqPos.5.RICJ880112	0.012
SeqPos.1.WERD780104	0.012
SeqPos.9.NISK800101	0.012
SeqPos.8.WEBA780101	0.012
SeqPos.5.NADH010104	0.012
SeqPos.9.MEIH800102	0.012
SeqPos.8.PONP800106	0.012
SeqPos.8.RADA880105	0.012
SeqPos.8.KUHL950101	0.012
SeqPos.8.PALJ810115	0.012
SeqPos.9.RACS770102	0.012
SeqPos.9.NADH010105	0.012
SeqPos.9.WOEC730101	0.012
SeqPos.8.AURR980116	0.012
SeqPos.5.PONP800108	0.012
SeqPos.8.EISD860101	0.012
SeqPos.8.BIOV880102	0.012
SeqPos.9.SUEM840101	0.012
SeqPos.5.AURR980105	0.012
SeqPos.5.RACS770103	0.012
SeqPos.9.KRIW790102	0.012
SeqPos.5.RICJ880108	0.012
SeqPos.1.LEVM760105	0.012
SeqPos.9.GEIM800108	0.012
SeqPos.4.RICJ880114	0.012
SeqPos.5.NAKH900106	0.012
SeqPos.8.GEIM800103	0.012
SeqPos.8.CHOP780205	0.012
SeqPos.1.RACS770102	0.012
SeqPos.8.RICJ880114	0.012
SeqPos.2.CHOP780202	0.012
SeqPos.5.RACS770101	0.012
SeqPos.5.RICJ880109	0.012
SeqPos.8.WILM950104	0.012
SeqPos.4.LEVM780105	0.012
SeqPos.5.NISK860101	0.012
SeqPos.5.FAUJ880107	0.012
SeqPos.1.AURR980108	0.012
SeqPos.5.QIAN880132	0.012
SeqPos.9.KUMS000101	0.012
SeqPos.1.KUMS000102	0.012
SeqPos.5.BASU050103	0.012
SeqPos.9.QIAN880132	0.012
SeqPos.8.DAWD720101	0.012
SeqPos.8.FUKS010104	0.012
SeqPos.9.KARP850102	0.012
SeqPos.5.CHOP780209	0.012
SeqPos.8.KARP850102	0.012
SeqPos.8.ROBB760107	0.012
SeqPos.5.ZIMJ680105	0.012
SeqPos.5.CHAM820101	0.012
SeqPos.1.GUYH850101	0.012
SeqPos.1.JOND920101	0.012
SeqPos.1.CHOP780210	0.012
SeqPos.5.MEIH800102	0.012
SeqPos.5.ZHOH040103	0.012
SeqPos.5.EISD860101	0.012
SeqPos.9.CHOC750101	0.012
SeqPos.4.RICJ880101	0.012
SeqPos.4.RICJ880102	0.012
SeqPos.5.KRIW790102	0.012
SeqPos.4.JUKT750101	0.012
SeqPos.5.QIAN880131	0.012
SeqPos.8.SUEM840101	0.012
SeqPos.5.KANM800101	0.012
SeqPos.1.FUKS010107	0.012
SeqPos.1.WARP780101	0.012
SeqPos.4.GUYH850104	0.012
SeqPos.9.JOND920101	0.012
SeqPos.9.PARS000101	0.012
SeqPos.9.MANP780101	0.012
SeqPos.8.BASU050103	0.012
SeqPos.1.FUKS010101	0.012
SeqPos.9.QIAN880115	0.012
SeqPos.8.PRAM900104	0.012
SeqPos.5.KRIW790101	0.012
SeqPos.3.GEOR030104	0.012
SeqPos.4.CORJ870101	0.012
SeqPos.3.CASG920101	0.012
SeqPos.5.PONJ960101	0.012
SeqPos.9.SWER830101	0.012
SeqPos.9.CORJ870102	0.012
SeqPos.2.NAKH900108	0.012
SeqPos.4.PONP800103	0.012
SeqPos.8.ROBB760103	0.012
SeqPos.9.MCMT640101	0.012
SeqPos.5.NADH010102	0.012
SeqPos.8.FUKS010101	0.012
SeqPos.6.PALJ810112	0.012
SeqPos.1.HUTJ700102	0.012
SeqPos.9.WARP780101	0.012
SeqPos.4.EISD840101	0.012
SeqPos.8.JUKT750101	0.012
SeqPos.9.PARJ860101	0.012
SeqPos.8.KANM800104	0.012
SeqPos.6.ROBB760110	0.012
SeqPos.8.CRAJ730102	0.012
SeqPos.4.QIAN880130	0.012
SeqPos.5.ISOY800106	0.012
SeqPos.9.CHAM820102	0.012
SeqPos.5.PARS000101	0.012
SeqPos.4.CORJ870106	0.012
SeqPos.5.TAKK010101	0.012
SeqPos.5.AURR980107	0.012
SeqPos.1.ISOY800107	0.012
SeqPos.1.PONP800106	0.012
SeqPos.3.QIAN880128	0.012
SeqPos.9.BIGC670101	0.012
SeqPos.9.TSAJ990101	0.012
SeqPos.9.TSAJ990102	0.012
SeqPos.5.NADH010103	0.012
SeqPos.9.PONP800102	0.012
SeqPos.9.DESM900102	0.012
SeqPos.9.KRIW710101	0.012
SeqPos.3.QIAN880126	0.012
SeqPos.5.FUKS010104	0.012
SeqPos.1.CEDJ970103	0.011
SeqPos.8.LEVM780103	0.011
SeqPos.8.ARGP820102	0.011
SeqPos.4.RICJ880107	0.011
SeqPos.4.FAUJ880104	0.011
SeqPos.3.KUMS000102	0.011
SeqPos.8.AURR980105	0.011
SeqPos.4.BLAS910101	0.011
SeqPos.5.WERD780103	0.011
SeqPos.9.QIAN880102	0.011
SeqPos.4.CRAJ730103	0.011
SeqPos.9.RACS770103	0.011
SeqPos.9.KRIW790103	0.011
SeqPos.9.SNEP660102	0.011
SeqPos.9.FASG760101	0.011
SeqPos.8.MUNV940102	0.011
SeqPos.9.SNEP660101	0.011
SeqPos.8.CHOP780210	0.011
SeqPos.9.RICJ880109	0.011
SeqPos.1.OOBM770102	0.011
SeqPos.5.LEVM760102	0.011
SeqPos.5.QIAN880110	0.011
SeqPos.8.PRAM900101	0.011
SeqPos.8.ENGD860101	0.011
SeqPos.1.RICJ880103	0.011
SeqPos.9.PONJ960101	0.011
SeqPos.8.NADH010105	0.011
SeqPos.5.PTIO830102	0.011
SeqPos.4.QIAN880124	0.011
SeqPos.9.VHEG790101	0.011
SeqPos.8.GEIM800105	0.011
SeqPos.7.SNEP660104	0.011
SeqPos.8.PONP800104	0.011
SeqPos.3.QIAN880109	0.011
SeqPos.3.BULH740102	0.011
SeqPos.4.WARP780101	0.011
SeqPos.1.MAXF760102	0.011
SeqPos.4.ISOY800105	0.011
SeqPos.3.CHAM830102	0.011
SeqPos.4.MIYS990102	0.011
SeqPos.9.PONP800103	0.011
SeqPos.9.QIAN880119	0.011
SeqPos.1.YUTK870102	0.011
SeqPos.5.GEIM800102	0.011
SeqPos.8.NISK860101	0.011
SeqPos.9.HUTJ700102	0.011
SeqPos.4.COWR900101	0.011
SeqPos.2.GUYH850101	0.011
SeqPos.5.RICJ880116	0.011
SeqPos.8.NADH010106	0.011
SeqPos.1.MAXF760101	0.011
SeqPos.5.FODM020101	0.011
SeqPos.8.GUYH850102	0.011
SeqPos.8.DESM900101	0.011
SeqPos.9.RADA880102	0.011
SeqPos.5.QIAN880122	0.011
SeqPos.1.OOBM770105	0.011
SeqPos.5.PUNT030102	0.011
SeqPos.1.CEDJ970101	0.011
SeqPos.6.JUNJ780101	0.011
SeqPos.9.BURA740101	0.011
SeqPos.3.CIDH920105	0.011
SeqPos.3.VASM830101	0.011
SeqPos.6.CHOP780205	0.011
SeqPos.9.ROBB760110	0.011
SeqPos.1.PALJ810113	0.011
SeqPos.7.VASM830102	0.011
SeqPos.8.TAKK010101	0.011
SeqPos.8.MEIH800103	0.011
SeqPos.4.GEOR030102	0.011
SeqPos.1.TANS770104	0.011
SeqPos.1.BULH740102	0.011
SeqPos.8.PALJ810110	0.011
SeqPos.5.RADA880106	0.011
SeqPos.8.CRAJ730101	0.011
SeqPos.8.NAKH900107	0.011
SeqPos.9.NAKH920106	0.011
SeqPos.9.FUKS010111	0.011
SeqPos.6.QIAN880133	0.011
SeqPos.8.PALJ810103	0.011
SeqPos.9.GEIM800103	0.011
SeqPos.1.KRIW790102	0.011
SeqPos.2.LEVM760101	0.011
SeqPos.4.QIAN880118	0.011
SeqPos.9.RACS770101	0.011
SeqPos.9.CHOP780211	0.011
SeqPos.9.CRAJ730101	0.011
SeqPos.9.MIYS990103	0.011
SeqPos.9.AURR980109	0.011
SeqPos.5.AURR980119	0.011
SeqPos.8.SNEP660103	0.011
SeqPos.4.JANJ780101	0.011
SeqPos.4.AURR980110	0.011
SeqPos.9.KARP850103	0.011
SeqPos.5.FUKS010101	0.011
SeqPos.3.JUKT750101	0.011
SeqPos.5.LEVM760106	0.011
SeqPos.8.FUKS010109	0.011
SeqPos.9.MAXF760101	0.011
SeqPos.9.NADH010107	0.011
SeqPos.6.KUHL950101	0.011
SeqPos.8.RACS820108	0.011
SeqPos.3.KARP850102	0.011
SeqPos.9.RICJ880113	0.011
SeqPos.4.QIAN880126	0.011
SeqPos.8.ZIMJ680105	0.011
SeqPos.4.PARS000101	0.011
SeqPos.4.SNEP660103	0.011
SeqPos.5.CRAJ730102	0.011
SeqPos.9.ROSG850101	0.011
SeqPos.6.BEGF750103	0.011
SeqPos.9.GOLD730102	0.011
SeqPos.9.GRAR740103	0.011
SeqPos.9.QIAN880116	0.011
SeqPos.9.PONP800106	0.011
SeqPos.9.WERD780103	0.011
SeqPos.8.CORJ870107	0.011
SeqPos.5.NADH010106	0.011
SeqPos.3.PALJ810110	0.011
SeqPos.9.KUMS000102	0.011
SeqPos.4.BASU050102	0.011
SeqPos.9.QIAN880124	0.011
SeqPos.4.QIAN880110	0.011
SeqPos.8.PUNT030101	0.011
SeqPos.7.PUNT030101	0.011
SeqPos.5.BUNA790103	0.011
SeqPos.1.JUNJ780101	0.011
SeqPos.8.QIAN880103	0.011
SeqPos.4.ROBB760110	0.011
SeqPos.8.KARP850103	0.011
SeqPos.8.JACR890101	0.011
SeqPos.4.LEVM780104	0.011
SeqPos.4.EISD860101	0.011
SeqPos.4.RACS770102	0.011
SeqPos.2.FUKS010109	0.011
SeqPos.8.CHOP780209	0.011
SeqPos.4.PONP800106	0.011
SeqPos.8.BULH740102	0.011
SeqPos.3.NAKH920101	0.011
SeqPos.9.FAUJ880102	0.011
SeqPos.7.AURR980108	0.011
SeqPos.9.YUTK870102	0.011
SeqPos.9.HARY940101	0.011
SeqPos.9.PONP800101	0.011
SeqPos.2.GEIM800102	0.011
SeqPos.3.GEIM800105	0.011
SeqPos.5.BASU050101	0.011
SeqPos.3.CHOP780211	0.011
SeqPos.4.KANM800101	0.011
SeqPos.2.MAXF760101	0.011
SeqPos.1.FUKS010110	0.011
SeqPos.3.QIAN880115	0.011
SeqPos.7.RACS820101	0.011
SeqPos.1.FUKS010105	0.011
SeqPos.9.CRAJ730102	0.011
SeqPos.5.ROBB760104	0.011
SeqPos.9.CHOP780202	0.011
SeqPos.3.GRAR740102	0.011
SeqPos.3.KRIW790101	0.011
SeqPos.7.NAKH920101	0.011
SeqPos.8.QIAN880114	0.011
SeqPos.4.NADH010107	0.011
SeqPos.4.QIAN880103	0.011
SeqPos.1.RACS770101	0.011
SeqPos.8.VELV850101	0.011
SeqPos.8.COSI940101	0.011
SeqPos.1.MUNV940103	0.011
SeqPos.6.CHAM830102	0.011
SeqPos.9.LAWE840101	0.011
SeqPos.8.GEIM800102	0.011
SeqPos.8.PALJ810111	0.011
SeqPos.8.MIYS990102	0.011
SeqPos.1.AURR980101	0.011
SeqPos.8.JANJ780102	0.011
SeqPos.1.JANJ790102	0.011
SeqPos.8.ROSG850101	0.011
SeqPos.1.KRIW710101	0.011
SeqPos.5.RACS820105	0.011
SeqPos.3.SUEM840101	0.011
SeqPos.1.FUKS010104	0.011
SeqPos.1.CORJ870101	0.011
SeqPos.9.FAUJ880106	0.011
SeqPos.7.CHAM830102	0.011
SeqPos.4.FAUJ880102	0.011
SeqPos.5.TANS770104	0.011
SeqPos.1.ROBB760107	0.011
SeqPos.1.ROBB760108	0.011
